Year,maxDHW,RCP,Reef
2051,1.870474919,6,Thetford
2052,6.572423198,6,Thetford
2053,4.132292585,6,Thetford
2054,0.756982284,6,Thetford
2055,0.146854175,6,Thetford
2056,2.69320908,6,Thetford
2057,4.262884769,6,Thetford
2058,10.7905889,6,Thetford
2059,18.56955085,6,Thetford
2060,16.11165878,6,Thetford
2061,7.224528242,6,Thetford
2062,6.487195535,6,Thetford
2063,12.59592891,6,Thetford
2064,2.23304042,6,Thetford
2065,13.25304966,6,Thetford
2066,13.83035119,6,Thetford
2067,14.4981502,6,Thetford
2068,4.629240537,6,Thetford
2069,0.156874961,6,Thetford
2070,1.014815305,6,Thetford
2071,4.956972352,6,Thetford
2072,11.77205903,6,Thetford
2073,16.35299928,6,Thetford
